elevation	2	4	7	16	21	35	67	130	235	detention	20	26	35	47	64	92	120	200	320
submission	5	9	16	35	63	112	211	397	793	translator	9	10	15	22	29	45	62	113	189
infancy	5	5	5	10	20	30	40	67	114	marrow	15	18	26	39	50	83	122	168	256
refinement	4	4	6	11	18	42	88	163	284	barricade	1	1	1	1	1	1	1	2	6
gratification	0	4	6	7	18	31	64	116	207	undercurrent	1	2	2	3	5	5	9	16	28
sinner	10	14	19	25	35	47	77	122	193	fella	6	10	15	25	45	79	132	227	394
fidelity	1	1	1	4	8	14	20	41	96	cobwebs	0	0	0	1	2	2	8	16	39
piety	14	27	33	44	81	118	174	275	417	beak	5	6	6	11	16	24	39	79	132
tyranny	23	31	48	67	99	144	219	327	502	boiler	10	13	16	26	46	62	102	168	261
vale	2	4	4	6	9	29	47	107	208	han	10	23	41	65	95	130	175	213	289
affliction	0	0	0	0	4	4	11	18	43	honeysuckle	6	10	16	26	43	74	102	158	205
precaution	2	3	4	5	9	11	19	35	62	wheelbarrow	1	2	2	3	3	4	6	10	22
mortification	1	2	2	4	7	9	14	42	65	homesickness	0	1	1	5	15	21	35	59	99
immortality	0	1	1	4	5	10	14	42	80	blackboard	4	4	4	6	8	10	12	19	41
bower	0	0	0	0	1	1	2	7	30	callin	1	2	6	19	30	48	70	104	173
sentinel	1	2	3	4	6	11	15	29	45	evasion	2	6	7	11	15	21	32	53	103
wickedness	9	17	27	47	75	106	152	243	402	turpentine	0	0	1	2	3	9	11	15	27
pomp	1	4	6	7	12	22	31	53	80	omega	1	1	3	7	16	29	43	74	115
assertion	19	35	59	89	130	209	332	500	738	plaintiff	39	51	83	121	160	230	346	517	758
patriot	0	0	0	1	5	10	25	60	103	maggot	1	1	1	1	1	1	7	11	21
azure	0	2	2	5	8	17	24	43	87	pike	0	2	6	14	26	64	109	184	307
chivalry	2	3	4	8	11	19	23	42	68	jackass	3	5	5	9	16	29	42	80	129
ardor	2	4	5	7	10	12	25	40	76	swine	13	22	27	37	55	76	105	148	216
deliberation	1	2	5	11	13	24	38	61	101	nationality	3	5	6	9	19	29	46	73	128
sufferer	1	2	4	7	18	34	52	81	137	pantomime	1	1	2	4	9	12	18	23	51
flattery	0	1	1	1	3	7	12	29	61	infinity	0	0	1	1	2	5	10	22	49
delirium	1	2	3	4	6	11	17	40	73	savagery	9	10	14	18	31	50	77	131	212
neighbour	4	6	10	13	23	33	53	81	145	devilment	0	0	0	0	0	1	2	6	18
ornament	12	17	33	58	97	150	217	314	470	rectory	4	6	6	6	11	19	28	42	72
benevolence	10	12	20	29	40	67	106	156	234	coronation	0	1	1	2	3	6	11	26	49
mien	0	0	0	0	0	0	3	8	17	rev	1	1	1	2	4	8	18	47	108
discharge	3	3	7	10	16	51	115	251	498	fertility	5	8	9	23	31	54	93	156	254
boon	0	0	0	0	0	2	4	13	34	ore	7	9	15	21	28	42	62	92	142
ruffian	0	0	0	0	0	0	0	0	0	rebuff	0	0	0	1	3	9	15	36	88
obscurity	1	2	3	6	10	17	32	56	103	gymnasium	6	8	11	14	26	40	63	88	136
remedy	12	22	30	50	91	156	277	495	844	ruler	1	1	1	5	6	10	16	42	71
estimation	24	43	59	83	121	163	246	395	606	actuality	3	6	13	26	52	88	179	294	467
habitation	0	2	3	4	6	8	15	24	36	penetration	2	5	11	21	34	52	104	158	264
nobleman	3	4	7	8	10	20	29	48	87	shingle	3	3	5	5	7	10	17	29	44
approbation	1	2	6	7	11	19	37	59	97	advertiser	1	3	5	6	6	12	24	45	85
vexation	1	1	2	2	4	13	29	51	94	corsair	2	3	8	14	31	48	75	105	168
boldness	5	7	19	27	57	89	136	213	343	potency	2	5	16	25	39	59	99	156	258
oar	1	1	2	2	3	3	5	9	18	sho	0	1	1	1	1	2	5	10	28
commerce	3	5	13	30	65	110	188	379	739	vinegar	46	64	99	140	214	300	401	551	712
fortitude	3	5	7	9	15	23	46	71	113	radiator	6	10	20	31	41	88	134	226	360
valor	2	3	4	4	7	7	10	19	28	cryin	3	8	17	27	35	61	90	129	193
extravagance	8	13	16	21	43	69	118	200	307	punctuation	9	10	13	19	38	54	84	122	167
aversion	3	7	12	24	40	77	103	160	247	fireman	3	4	4	7	9	13	16	27	47
refreshment	1	1	2	5	9	15	23	44	76	femininity	7	11	15	24	32	56	93	154	259
